trials,paths
78,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
79,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
80,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
81,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
82,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
83,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'S'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
84,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
85,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
86,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
87,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
88,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
89,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
90,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
91,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
92,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
93,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
94,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
95,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
96,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
97,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
98,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'),  (1, 2, 'SE'), (2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NW'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
99,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE')]"
100,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
101,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
102,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
103,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'S'), (3, 2, 'N'), (3, 3, 'S'), (3, 2, 'N'), (3, 3, 'NW')]"
104,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
105,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
106,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
107,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
108,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'S'), (3, 2, 'N'), (3, 3, 'NW')]"
109,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
110,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
111,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NE'), (4, 4, 'SW'), (3, 3, 'NW')]"
112,"[(2, 1, 'NW'), (1, 2, 'SE'), (2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'NW')]"
113,"[(2, 1, 'NE'), (3, 2, 'N'), (3, 3, 'S'), (3, 2, 'N'), (3, 3, 'S'), (3, 2, 'N'), (3, 3, 'NW')]"
